iucn_idenitifier,file_identifier,level_1_ecosystems,level_2_ecosystems,short_name,group,min,max,coarse
1.1,0101,Forest,Forest - Boreal,Boreal,forest,32,48,tree
1.2,0102,Forest,Forest - Subarctic,Subarctic,forest,32,48,tree
1.3,0103,Forest,Forest - Subantarctic,Subantarctic,forest,32,48,tree
1.4,0104,Forest,Forest - Temperate,Temperate,forest,32,48,tree
1.5,0105,Forest,Forest - Subtropical/Tropical Dry,Sub-/tropical dry,forest,32,48,tree
1.6,0106,Forest,Forest - Subtropical/Tropical Moist Lowland,Sub-/tropical moist lowland,forest,32,48,tree
1.7,0107,Forest,Forest - Subtropical/Tropical Mangrove Vegetation Above High Tide Level,Mangrove (above tide),forest,132,148,swamp
1.8,0108,Forest,Forest - Subtropical/Tropical Swamp,Sub-/tropical swamp,forest,32,48,swamp
1.9,0109,Forest,Forest - Subtropical/Tropical Moist Montane,Sub-/tropical moist montane,forest,32,48,tree
2.1,0201,Savanna,Savanna - Dry,Dry,grassland,19,24,savanna
2.2,0202,Savanna,Savanna - Moist,Moist,grassland,19,24,savanna
3.1,0301,Shrubland,Shrubland - Subarctic,Subarctic,shrubland,19,24,short
3.2,0302,Shrubland,Shrubland - Subantarctic,Subantarctic,shrubland,19,24,short
3.3,0303,Shrubland,Shrubland - Boreal,Boreal,shrubland,19,24,short
3.4,0304,Shrubland,Shrubland - Temperate,Temperate,shrubland,19,24,short
3.5,0305,Shrubland,Shrubland - Subtropical/Tropical Dry,Sub-/tropical dry,shrubland,19,24,short
3.6,0306,Shrubland,Shrubland - Subtropical/Tropical Moist,Sub-/tropical moist,shrubland,19,24,short
3.7,0307,Shrubland,Shrubland - Subtropical/Tropical High Altitude,Sub-/tropical high altitude,shrubland,19,24,short
3.8,0308,Shrubland,Shrubland - Mediterranean-type Shrubby Vegetation,Mediterranean,shrubland,19,24,short
4.1,0401,Grassland,Grassland - Tundra,Tundra,grassland,0,24,short
4.2,0402,Grassland,Grassland - Subarctic,Subarctic,grassland,0,18,short
4.3,0403,Grassland,Grassland - Subantarctic,Subantarctic,grassland,0,18,short
4.4,0404,Grassland,Grassland - Temperate,Temperate,grassland,18,24,short
4.5,0405,Grassland,Grassland - Subtropical/Tropical Dry,Sub-/tropical dry,grassland,18,24,short
4.6,0406,Grassland,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,Sub- /tropical wet,grassland,18,24,short
4.7,0407,Grassland,Grassland - Subtropical/Tropical High Altitude,Sub-/tropical high altitude,grassland,18,24,short
5.1,0501,Freshwater,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Permanent river,river,208,208,water
5.2,0502,Freshwater,Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks,Seasonal river,river,208,211,water
5.3,0503,Freshwater,Wetlands (inland) - Shrub Dominated Wetlands,Shrub wetlands,wetland,102,124,wetland
5.4,0504,Freshwater,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Large wetlands,wetland,102,124,wetland
5.5,0505,Freshwater,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Permanent fresh. lake,lake,208,208,water
5.6,0506,Freshwater,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),Seasonal fresh. lakes,lake,208,211,water
5.7,0507,Freshwater,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),Permanent pools,wetland,102,124,wetland
5.8,0508,Freshwater,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),Seasonal pools,wetland,102,124,wetland
5.9,0509,Freshwater,Wetlands (inland) - Freshwater Springs and Oases,Springs and Oases,wetland,102,124,wetland
5.1,0510,Freshwater,Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt),Tundra wetlands,wetland,102,124,wetland
5.11,0511,Freshwater,Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt),Alpine wetlands,wetland,102,124,wetland
5.12,0512,Freshwater,Wetlands (inland) - Geothermal Wetlands,Geothermal wetlands,wetland,102,124,wetland
5.13,0513,Freshwater,Wetlands (inland) - Permanent Inland Deltas,Inland Deltas,wetland,102,124,wetland
5.14,0514,Freshwater,"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes",Permanent saline lakes,lake,208,208,water
5.15,0515,Freshwater,"Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats",Seasonal saline lakes,lake,100,101,water
5.16,0516,Freshwater,"Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools",Permanent saline marshes,wetland,102,124,wetland
5.17,0517,Freshwater,"Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools",Seasonal saline marshes,wetland,102,124,wetland
5.18,0518,Freshwater,Wetlands (inland) - Karst and Other Subterranean Hydrological Systems (inland),Karst subterranean,none,,,
6,0600,Desertic,"Rocky areas (eg. inland cliffs, mountain peaks)",Rocky areas,bare,0,1,bare
7.1,0701,Subterranean,Caves and Subterranean Habitats (non-aquatic) - Caves,Caves,none,,,
7.2,0702,Subterranean,Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats,Other subterranean,none,,,
8.1,0801,Desertic,Desert - Hot,Hot,bare,0,1,bare
8.2,0802,Desertic,Desert - Temperate,Temperate,bare,0,1,bare
8.3,0803,Desertic,Desert - Cold,Cold,bare,241,242,ice
9.1,0901,Coastal,Marine Neritic - Pelagic,Pelagic,coastal,208,208,water
9.2,0902,Coastal,Marine Neritic - Subtidal Rock and Rocky Reefs,Subtidal Rock / Rocky Reefs,coastal,208,208,water
9.3,0903,Coastal,Marine Neritic - Subtidal Loose Rock/pebble/gravel,Subtidal loose rocky,coastal,208,208,water
9.4,0904,Coastal,Marine Neritic - Subtidal Sandy,Subtidal sandy,coastal,208,208,water
9.5,0905,Coastal,Marine Neritic - Subtidal Sandy-Mud,Subtidal sandy/muddy,coastal,208,208,water
9.6,0906,Coastal,Marine Neritic - Subtidal Muddy,Subtidal muddy,coastal,208,208,water
9.7,0907,Coastal,Marine Neritic - Macroalgal/Kelp,Macroalgal/Kelp,coastal,208,208,water
9.8,0908,Coastal,Marine Neritic - Coral Reef,Coral reef,coastal,208,208,water
9.9,0909,Coastal,Marine Neritic - Seagrass (Submerged),Seagrass,coastal,208,208,water
9.1,0910,Coastal,Marine Neritic - Estuaries,Estuaries,coastal,208,208,water
10.1,1001,Oceanic,"Marine Oceanic - Epipelagic (0,Oceanic""",Epipelagic,none,,,
10.2,1002,Oceanic,"Marine Oceanic - Mesopelagic (200,Oceanic""",Mesopelagic,none,,,
10.3,1003,Oceanic,"Marine Oceanic - Bathypelagic (1,000,Oceanic""",Bathypelagic,none,,,
10.4,1004,Oceanic,"Marine Oceanic - Abyssopelagic (4,000,Oceanic""",Abyssopelagic,none,,,
11.1,1101,Oceanic,"Marine Deep Benthic - Continental Slope/Bathyl Zone (200-4,000m)",Bathyl zone,none,,,
11.2,1102,Oceanic,"Marine Deep Benthic - Abyssal Plain (4,000-6,000m)",Abyssal plain,none,,,
11.3,1103,Oceanic,"Marine Deep Benthic - Abyssal Mountain/Hills (4,000-6,000m)",Abyssal mountain/hill,none,,,
11.4,1104,Oceanic,"Marine Deep Benthic - Hadal/Deep Sea Trench (>6,000m)",Deep sea trench,none,,,
11.5,1105,Oceanic,Marine Deep Benthic - Seamount,Seamount,none,,,
11.6,1106,Oceanic,Marine Deep Benthic - Deep Sea Vents (Rifts/Seeps),Deep sea vents,none,,,
12.1,1201,Coastal,Marine Intertidal - Rocky Shoreline,Rocky shoreline,bare,0,1,bare
12.2,1202,Coastal,"Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc",Sandy shoreline,bare,0,1,bare
12.3,1203,Coastal,Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches,Pebble/Shingle shoreline,bare,0,1,bare
12.4,1204,Coastal,Marine Intertidal - Mud Flats and Salt Flats,Mud/Salt flats,coastal,0,1,water
12.5,1205,Coastal,Marine Intertidal - Salt Marshes (Emergent Grasses),Salt Marshes,wetland,102,124,wetland
12.6,1206,Coastal,Marine Intertidal - Tidepools,Tidepools,coastal,208,208,water
12.7,1207,Coastal,Marine Intertidal - Mangrove Submerged Roots,Mangrove (submerged),forest,132,148,swamp
13.1,1301,Coastal,Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands,Sea cliffs and rocky islands,bare,0,18,bare
13.2,1302,Coastal,Marine Coastal/supratidal - Coastal Caves/Karst,Coastal caves,none,,,
13.3,1303,Coastal,Marine Coastal/Supratidal - Coastal Sand Dunes,Coastal sand dunes,bare,2,18,bare
13.4,1304,Coastal,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Coastal saline lagoons/lakes,lake,208,208,water
13.5,1305,Coastal,Marine Coastal/Supratidal - Coastal Freshwater Lakes,Coastal fresh. lakes,lake,208,208,water
14.1,1401,Artificial,Artificial/Terrestrial - Arable Land,Arable land,agriculture,244,245,cropland
14.2,1402,Artificial,Artificial/Terrestrial - Pastureland,Pastureland,grassland,19,24,tree
14.3,1403,Artificial,Artificial/Terrestrial - Plantations,Plantations,forest,49,96,tree
14.4,1404,Artificial,Artificial/Terrestrial - Rural Gardens,Rural gardens,agriculture,244,245,short
14.5,1405,Artificial,Artificial/Terrestrial - Urban Areas,Urban areas,none,250,253,
14.6,1406,Artificial,Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest,Degraded former forest,forest,49,96,tree
15.1,1501,Artificial,Artificial/Aquatic - Water Storage Areas (over 8ha),Reservoirs,none,,,
15.2,1502,Artificial,Artificial/Aquatic - Ponds (below 8ha),Ponds,none,,,
15.3,1503,Artificial,Artificial/Aquatic - Aquaculture Ponds,Aquaculture,none,,,
15.4,1504,Artificial,Artificial/Aquatic - Salt Exploitation Sites,Salt exploitations,none,,,
15.5,1505,Artificial,Artificial/Aquatic - Excavations (open),Escavations,none,,,
15.6,1506,Artificial,Artificial/Aquatic - Wastewater Treatment Areas,Wastewater treatment,none,,,
15.7,1507,Artificial,Artificial/Aquatic - Irrigated Land (includes irrigation channels),Irrigated land,agriculture,244,245,cropland
15.8,1508,Artificial,Artificial/Aquatic - Seasonally Flooded Agricultural Land,Seasonally flooded agriculture,agriculture,244,245,cropland
15.9,1509,Artificial,"Artificial/Aquatic - Canals and Drainage Channels, Ditches",Canals,none,208,208,
15.1,1510,Artificial,Artificial/Aquatic - Karst and Other Subterranean Hydrological Systems (human-made),Human made caves,none,,,
15.11,1511,Artificial,Artificial/Marine - Marine Anthropogenic Structures,Coastal structures,none,250,253,
15.12,1512,Artificial,Artificial/Marine - Mariculture Cages,Mariculture,none,208,208,
15.13,1513,Artificial,Artificial/Marine - Mari/Brackishculture Ponds,Backishculture,none,208,208,
16,1600,Artificial,Introduced vegetation,Introduced vegetation,none,,,
