"FoG_taxon_uid","lower","upper"
"1",900,1800
"10",300,1200
"1000",0,600
"1001",0,300
"1002",1800,2400
"1006",900,2400
"1007",900,1200
"1008",600,900
"1009",300,900
"101",0,600
"1010",0,2400
"1011",0,1800
"1012",0,300
"1015",-9000,-8700
"1016",0,300
"1017",0,1500
"1018",0,1200
"1019",600,900
"102",0,1500
"1020",0,1200
"1021",-9000,-8700
"1024",300,600
"1025",0,300
"1026",0,300
"1027",0,1200
"1028",1200,1800
"1029",0,600
"103",0,900
"1030",0,1200
"1031",0,1500
"1032",0,600
"1033",0,1500
"1034",0,300
"1035",0,300
"1036",0,300
"1037",0,1200
"1038",0,300
"1039",0,1500
"104",0,300
"1040",0,300
"1041",600,2400
"1043",900,2400
"1045",0,300
"1046",0,300
"1047",1500,2100
"1049",0,300
"105",0,1500
"1050",0,1800
"1051",0,600
"1052",0,1200
"1053",0,300
"1054",0,300
"1055",1500,1800
"1056",300,1800
"1057",0,300
"1058",0,300
"1059",0,1200
"106",0,900
"1060",1200,2400
"1061",-9000,-8700
"1062",1500,1800
"1063",300,2100
"1064",0,1500
"1066",1200,2400
"1068",0,1500
"1069",0,300
"107",0,1500
"1070",0,2400
"1072",0,2400
"1073",0,1500
"1075",0,2100
"1076",-9000,-8700
"1077",0,600
"1078",0,1500
"1079",0,600
"108",0,300
"1080",0,900
"1081",-9000,-8700
"1082",0,300
"1083",0,600
"1084",2100,2400
"1085",0,900
"1086",0,300
"1087",0,300
"1088",0,300
"1089",0,2100
"1090",0,1800
"1091",0,1800
"1092",0,2100
"1093",300,2100
"1094",0,1200
"1095",0,900
"1096",0,300
"1097",0,300
"1098",0,1800
"1099",0,1800
"11",0,300
"110",0,1500
"1100",0,300
"1101",-9000,-8700
"1102",0,300
"1103",0,1200
"1104",600,1200
"1105",0,1200
"1107",300,900
"1108",0,1200
"1109",0,2100
"111",0,300
"1110",0,1800
"1111",0,2400
"1113",0,300
"1114",0,1500
"1115",-9000,-8700
"1117",0,2400
"1118",-9000,-8700
"1119",0,1800
"112",0,600
"1120",0,1500
"1121",0,300
"1122",0,300
"1123",0,1800
"1124",0,2100
"1126",0,1200
"1127",0,2400
"1128",0,900
"113",0,600
"1130",0,1500
"1131",0,1200
"1132",0,2400
"1133",0,2100
"1134",0,2400
"1135",1200,2100
"1136",0,300
"1137",600,2400
"1138",0,300
"114",1200,2100
"1140",0,300
"1141",600,1800
"1142",300,1200
"1143",0,1800
"1147",0,300
"1148",900,1200
"1149",0,2100
"115",0,1500
"1150",1800,2100
"1151",0,2400
"1152",0,1200
"1153",0,1800
"1154",0,1500
"1156",0,2400
"1157",300,1500
"1158",0,300
"1159",0,1200
"116",0,1500
"1162",0,1800
"1163",0,1500
"1165",-9000,-8700
"1166",0,300
