sid,habitat,lifeform
1,W,Phanerophyte
2,W,Phanerophyte
3,W,Phanerophyte
4,R,Therophyte
6,R,Phanerophyte
7,H,Chamaephyte
8,H,Chamaephyte
9,R,Hemicryptophyte
10,W,Hemicryptophyte
11,R,Hemicryptophyte
12,G,Hemicryptophyte
13,W,Phanerophyte
14,W,Phanerophyte
15,W,Phanerophyte
16,H,Phanerophyte
16,W,Phanerophyte
17,W,Phanerophyte
18,W,Phanerophyte
19,H,Phanerophyte
19,W,Phanerophyte
20,W,Phanerophyte
21,R,Phanerophyte
22,W,Phanerophyte
23,W,Phanerophyte
24,W,Phanerophyte
25,W,Phanerophyte
26,W,Phanerophyte
27,H,Chamaephyte
28,H,Hemicryptophyte
29,C,Hemicryptophyte
30,C,Hemicryptophyte
30,G,Hemicryptophyte
31,C,Hemicryptophyte
32,C,Hemicryptophyte
32,G,Hemicryptophyte
33,H,Chamaephyte
34,H,Chamaephyte
35,H,Hemicryptophyte
36,H,Chamaephyte
37,G,Hemicryptophyte
38,G,Hemicryptophyte
39,G,Hemicryptophyte
39,R,Hemicryptophyte
40,C,Chamaephyte
40,M,Chamaephyte
41,G,Hemicryptophyte
41,H,Hemicryptophyte
42,H,Hemicryptophyte
43,H,Hemicryptophyte
45,C,Hemicryptophyte
45,H,Hemicryptophyte
46,W,Hemicryptophyte
47,W,Hemicryptophyte
48,W,Hemicryptophyte
49,G,Hemicryptophyte
49,H,Hemicryptophyte
50,G,Hemicryptophyte
50,W,Hemicryptophyte
51,H,Hemicryptophyte
52,M,Hemicryptophyte
53,G,Hemicryptophyte
54,G,Hemicryptophyte
55,G,Hemicryptophyte
56,C,Hemicryptophyte
57,G,Hemicryptophyte
58,C,Hemicryptophyte
59,C,Hemicryptophyte
60,C,Hemicryptophyte
61,G,Hemicryptophyte
62,G,Hemicryptophyte
63,C,Hemicryptophyte
63,H,Hemicryptophyte
64,C,Chamaephyte
64,H,Chamaephyte
65,P,Hemicryptophyte
65,W,Hemicryptophyte
66,G,Hemicryptophyte
67,P,Hemicryptophyte
69,G,Hemicryptophyte
69,H,Hemicryptophyte
70,G,Hemicryptophyte
70,H,Hemicryptophyte
71,G,Hemicryptophyte
71,H,Hemicryptophyte
72,G,Hemicryptophyte
72,H,Hemicryptophyte
75,P,Therophyte
76,G,Hemicryptophyte
77,A,Geophyte (Cryptophyte)
78,A,Hemicryptophyte
79,G,Geophyte (Cryptophyte)
80,H,Hemicryptophyte
81,W,Geophyte (Cryptophyte)
82,W,Phanerophyte
83,A,Hemicryptophyte
84,A,Hemicryptophyte
85,A,Geophyte (Cryptophyte)
85,C,Geophyte (Cryptophyte)
86,R,Therophyte
87,R,Therophyte
88,R,Therophyte
89,R,Therophyte
90,R,Therophyte
91,R,Therophyte
92,G,Geophyte (Cryptophyte)
92,W,Geophyte (Cryptophyte)
93,R,Therophyte
94,R,Therophyte
95,P,Therophyte
95,R,Therophyte
96,W,Geophyte (Cryptophyte)
97,R,Therophyte
98,R,Therophyte
99,R,Therophyte
100,P,Therophyte
100,R,Therophyte
101,P,Therophyte
101,R,Therophyte
102,P,Therophyte
102,R,Therophyte
103,P,Therophyte
103,R,Therophyte
104,P,Therophyte
104,R,Therophyte
105,P,Therophyte
105,R,Therophyte
106,P,Therophyte
106,R,Therophyte
107,P,Therophyte
107,R,Therophyte
108,M,Therophyte
109,R,Therophyte
110,P,Therophyte
110,R,Therophyte
111,P,Therophyte
111,R,Therophyte
112,P,Therophyte
112,R,Therophyte
113,P,Therophyte
113,R,Therophyte
114,C,Hemicryptophyte
115,W,Hemicryptophyte
116,R,Geophyte (Cryptophyte)
116,W,Geophyte (Cryptophyte)
117,M,Geophyte (Cryptophyte)
118,M,Geophyte (Cryptophyte)
122,W,Phanerophyte
123,P,Geophyte (Cryptophyte)
123,W,Geophyte (Cryptophyte)
124,P,Geophyte (Cryptophyte)
125,P,Geophyte (Cryptophyte)
125,W,Geophyte (Cryptophyte)
